epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0246,1.93098,1.77064,1.35187,0.49164,0.41609,0.445,0.18581,2.3884,2.36362,1.57666,0.0808,0.000193939,0.000193939
2,89.0283,1.89749,1.32106,1.32685,0.62308,0.5423,0.56524,0.24869,2.02918,4.80568,1.51069,0.061,0.000393897,0.000393897
3,119.866,1.88593,1.31814,1.35668,0.64101,0.54369,0.61239,0.28936,2.08613,1.48482,1.56457,0.0411997,0.000593682,0.000593682
4,151.715,1.8582,1.23376,1.3472,0.53716,0.48128,0.48072,0.23523,2.02906,1.51309,1.56333,0.0213992,0.000793164,0.000793164
5,182.025,1.8824,1.29644,1.35535,0.60652,0.53121,0.59606,0.29002,1.92583,1.97665,1.44041,0.00159827,0.000992214,0.000992214
6,212.966,1.85132,1.28917,1.34726,0.5656,0.59052,0.58195,0.30337,1.87473,1.86788,1.41331,0.000997288,0.000997288,0.000997288
7,244.345,1.83786,1.25113,1.33686,0.56672,0.54785,0.56627,0.24711,2.2395,1.62065,1.59503,0.000996097,0.000996097,0.000996097
8,276.122,1.83312,1.20942,1.32744,0.54036,0.47613,0.47362,0.24449,1.87927,1.73553,1.41656,0.00099469,0.00099469,0.00099469
9,306.792,1.82336,1.17597,1.33128,0.54518,0.54092,0.57287,0.30536,1.86867,1.47088,1.42026,0.000993068,0.000993068,0.000993068
10,337.81,1.83395,1.2035,1.33527,0.72602,0.62552,0.67651,0.35877,1.79292,1.24103,1.34408,0.000991232,0.000991232,0.000991232
11,368.499,1.77971,1.16604,1.31644,0.67495,0.62208,0.70005,0.36735,1.85377,1.191,1.35358,0.000989183,0.000989183,0.000989183
12,399.547,1.79,1.15263,1.29977,0.67661,0.57143,0.64156,0.34357,1.91201,1.31619,1.37732,0.000986922,0.000986922,0.000986922
13,430.262,1.77627,1.16018,1.29135,0.67108,0.6061,0.67888,0.32646,2.02772,1.28778,1.413,0.000984449,0.000984449,0.000984449
14,461.062,1.72219,1.0931,1.27182,0.69638,0.64216,0.69936,0.36424,1.8595,1.20422,1.36956,0.000981765,0.000981765,0.000981765
15,491.668,1.75643,1.11482,1.27945,0.70032,0.64355,0.70519,0.37541,1.85943,1.18053,1.35448,0.000978873,0.000978873,0.000978873
16,522.402,1.72614,1.09564,1.27816,0.74191,0.61165,0.70621,0.37696,1.85338,1.16015,1.35547,0.000975773,0.000975773,0.000975773
17,552.937,1.73502,1.13056,1.28702,0.70856,0.6172,0.69967,0.34138,2.02445,1.22735,1.42818,0.000972466,0.000972466,0.000972466
18,583.441,1.74876,1.11676,1.27703,0.68954,0.60685,0.67426,0.36303,1.86814,1.21165,1.36248,0.000968955,0.000968955,0.000968955
19,613.809,1.66125,1.0907,1.27141,0.74584,0.67563,0.74563,0.35926,2.04571,1.10609,1.40546,0.000965239,0.000965239,0.000965239
20,644.32,1.66794,1.05197,1.266,0.75065,0.6699,0.74433,0.37137,1.84923,1.18729,1.34697,0.000961322,0.000961322,0.000961322
21,674.899,1.64863,1.02827,1.24576,0.71119,0.65917,0.71272,0.39093,1.75625,1.16883,1.29878,0.000957205,0.000957205,0.000957205
22,705.998,1.64954,1.03452,1.23784,0.69138,0.66492,0.7151,0.40027,1.73148,1.11335,1.28922,0.000952889,0.000952889,0.000952889
23,737.037,1.61938,1.0108,1.23928,0.75485,0.62275,0.72173,0.42941,1.69618,1.06597,1.27342,0.000948377,0.000948377,0.000948377
24,768.259,1.59825,0.96827,1.20927,0.74619,0.681,0.75439,0.44319,1.67746,1.00488,1.2687,0.000943671,0.000943671,0.000943671
25,799.228,1.62631,0.97366,1.23033,0.78116,0.69348,0.77044,0.43261,1.7383,0.9781,1.27803,0.000938772,0.000938772,0.000938772
26,830.072,1.62069,1.00402,1.2237,0.76787,0.67443,0.76012,0.43426,1.71597,1.04994,1.26632,0.000933683,0.000933683,0.000933683
27,861.014,1.57329,0.95742,1.2073,0.7521,0.66158,0.75411,0.40813,1.82015,1.06258,1.31467,0.000928405,0.000928405,0.000928405
28,891.585,1.62162,0.99108,1.22609,0.73401,0.66297,0.74022,0.42712,1.72713,1.06302,1.27081,0.000922942,0.000922942,0.000922942
29,922.63,1.56707,0.97399,1.21567,0.75052,0.64257,0.72383,0.37186,1.94816,1.06974,1.36387,0.000917296,0.000917296,0.000917296
30,953.653,1.58096,0.96007,1.19969,0.74748,0.64867,0.74568,0.42788,1.74793,1.03566,1.30755,0.000911469,0.000911469,0.000911469
31,984.589,1.59537,0.96963,1.21012,0.74257,0.68812,0.75399,0.42579,1.75081,1.03585,1.27725,0.000905463,0.000905463,0.000905463
32,1015.75,1.53439,0.94939,1.20275,0.77494,0.61581,0.71897,0.41847,1.75033,1.1032,1.28204,0.000899282,0.000899282,0.000899282
33,1046.4,1.53754,0.91589,1.18177,0.7767,0.68516,0.76643,0.45831,1.65209,0.97837,1.22455,0.000892928,0.000892928,0.000892928
34,1077.13,1.56899,0.91836,1.20113,0.77374,0.683,0.76989,0.42337,1.807,1.01089,1.30419,0.000886404,0.000886404,0.000886404
35,1107.92,1.54751,0.90884,1.18188,0.75959,0.68239,0.75644,0.41738,1.74294,1.00584,1.29587,0.000879713,0.000879713,0.000879713
36,1138.62,1.54431,0.91597,1.1857,0.79704,0.65465,0.74484,0.43285,1.73187,0.98891,1.27781,0.000872857,0.000872857,0.000872857
37,1169.29,1.52139,0.90226,1.18278,0.762,0.71706,0.77649,0.44898,1.777,0.94235,1.30294,0.000865839,0.000865839,0.000865839
38,1200.4,1.53243,0.91296,1.17437,0.74191,0.67684,0.75622,0.44232,1.71396,0.98065,1.2928,0.000858664,0.000858664,0.000858664
39,1231.64,1.57299,0.92154,1.18342,0.75486,0.68761,0.75942,0.44589,1.7415,0.97155,1.29262,0.000851333,0.000851333,0.000851333
40,1262.58,1.53497,0.9125,1.18259,0.72621,0.72104,0.76484,0.44747,1.70577,0.94269,1.26019,0.000843851,0.000843851,0.000843851
41,1293.35,1.49733,0.89383,1.17491,0.72954,0.68793,0.7511,0.40821,1.87417,1.02175,1.34745,0.00083622,0.00083622,0.00083622
42,1324.37,1.49119,0.88384,1.16668,0.71143,0.69071,0.74164,0.39138,1.94583,1.04962,1.35877,0.000828443,0.000828443,0.000828443
43,1355.3,1.52874,0.89328,1.17207,0.7645,0.64494,0.75126,0.41838,1.80794,1.0644,1.30288,0.000820525,0.000820525,0.000820525
44,1386.06,1.51154,0.8821,1.16571,0.76936,0.67961,0.75439,0.43953,1.75461,1.01547,1.29233,0.000812468,0.000812468,0.000812468
45,1416.81,1.49682,0.89762,1.1654,0.7045,0.69439,0.74589,0.45018,1.6522,0.98605,1.25384,0.000804277,0.000804277,0.000804277
46,1447.81,1.47454,0.8597,1.15627,0.75058,0.70538,0.77788,0.44934,1.73806,0.9455,1.28801,0.000795954,0.000795954,0.000795954
47,1478.86,1.44628,0.84311,1.14277,0.7568,0.65171,0.74193,0.43868,1.74455,1.02663,1.30635,0.000787503,0.000787503,0.000787503
48,1509.27,1.43966,0.82541,1.14477,0.75659,0.70319,0.7759,0.45146,1.72565,0.94631,1.28103,0.000778929,0.000778929,0.000778929
49,1540.43,1.45056,0.82757,1.12692,0.73242,0.70234,0.75779,0.43807,1.76436,0.95416,1.28053,0.000770234,0.000770234,0.000770234
50,1571.41,1.4553,0.81349,1.1354,0.77032,0.681,0.76715,0.45303,1.71659,0.97141,1.27777,0.000761423,0.000761423,0.000761423
51,1601.91,1.43206,0.80504,1.13013,0.75579,0.65465,0.75192,0.46055,1.62368,0.98994,1.25264,0.0007525,0.0007525,0.0007525
52,1639.2,1.44714,0.82426,1.13907,0.77683,0.70006,0.7761,0.44189,1.73207,0.93327,1.26274,0.000743468,0.000743468,0.000743468
53,1669.81,1.43056,0.8186,1.12737,0.78349,0.66713,0.76689,0.44022,1.70795,0.96108,1.25912,0.000734332,0.000734332,0.000734332
54,1700.78,1.44493,0.82422,1.12718,0.70714,0.68655,0.74349,0.44918,1.63391,0.98773,1.24401,0.000725094,0.000725094,0.000725094
55,1731.99,1.39495,0.79318,1.12429,0.72617,0.75035,0.78741,0.47726,1.63546,0.92171,1.23477,0.000715761,0.000715761,0.000715761
56,1763.39,1.42287,0.79473,1.11093,0.75247,0.68932,0.76305,0.45058,1.72547,1.00431,1.2673,0.000706335,0.000706335,0.000706335
