epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1758,1.9918,1.97912,1.36584,0.36024,0.35922,0.31152,0.11331,2.31822,3.81202,1.55194,0.0808,0.000193939,0.000193939
2,67.8214,1.89701,1.31206,1.30148,0.63787,0.50347,0.57516,0.28128,1.86746,4.38861,1.32408,0.061,0.000393897,0.000393897
3,84.0672,1.84977,1.27716,1.29054,0.60015,0.58807,0.62311,0.32674,1.86732,1.27321,1.29643,0.0411997,0.000593682,0.000593682
4,100.03,1.82771,1.23182,1.27941,0.66397,0.59223,0.65674,0.31628,1.98653,1.4179,1.34392,0.0213992,0.000793164,0.000793164
5,115.896,1.85789,1.23867,1.28004,0.59213,0.57836,0.61376,0.25006,2.28321,1.72746,1.61188,0.00159827,0.000992214,0.000992214
6,131.799,1.83343,1.25209,1.2922,0.63536,0.609,0.66459,0.34097,1.93864,1.25514,1.33414,0.000997288,0.000997288,0.000997288
7,148.198,1.81092,1.20263,1.28374,0.67482,0.56033,0.63129,0.32147,2.03287,1.2281,1.35602,0.000996097,0.000996097,0.000996097
8,164.652,1.80295,1.17434,1.27158,0.69401,0.63384,0.70756,0.36653,1.85448,1.17384,1.28275,0.00099469,0.00099469,0.00099469
9,180.93,1.78936,1.13997,1.2625,0.70014,0.64078,0.69873,0.35882,1.90491,1.22752,1.31028,0.000993068,0.000993068,0.000993068
10,197.153,1.78631,1.14474,1.27218,0.67762,0.62413,0.69161,0.36159,1.89204,1.21704,1.33173,0.000991232,0.000991232,0.000991232
11,213.837,1.76192,1.13735,1.27714,0.71463,0.63523,0.70974,0.37677,1.86446,1.16284,1.29481,0.000989183,0.000989183,0.000989183
12,231.084,1.78763,1.14027,1.25795,0.72121,0.65301,0.72891,0.38003,1.85833,1.14025,1.27555,0.000986922,0.000986922,0.000986922
13,247.647,1.76418,1.14393,1.24896,0.74225,0.61026,0.71495,0.40411,1.68504,1.11327,1.23046,0.000984449,0.000984449,0.000984449
14,263.833,1.72603,1.09866,1.23753,0.71993,0.60609,0.6952,0.38317,1.76738,1.1252,1.2734,0.000981765,0.000981765,0.000981765
15,280.158,1.75113,1.10405,1.24528,0.70809,0.67961,0.7285,0.41825,1.74416,1.04572,1.23329,0.000978873,0.000978873,0.000978873
16,296.397,1.72128,1.09404,1.22844,0.70996,0.64506,0.7204,0.40936,1.72594,1.07202,1.25356,0.000975773,0.000975773,0.000975773
17,312.548,1.71565,1.0966,1.24252,0.73708,0.61822,0.7146,0.38469,1.84866,1.16361,1.30232,0.000972466,0.000972466,0.000972466
18,328.822,1.72378,1.10242,1.22682,0.72434,0.67058,0.73369,0.35984,1.98123,1.2599,1.31141,0.000968955,0.000968955,0.000968955
19,344.746,1.65529,1.0682,1.21693,0.70874,0.65326,0.72721,0.3505,2.0622,1.08833,1.33934,0.000965239,0.000965239,0.000965239
20,360.926,1.66357,1.04013,1.21561,0.73192,0.70055,0.74992,0.39452,1.80203,1.19272,1.25307,0.000961322,0.000961322,0.000961322
21,376.987,1.64453,1.01276,1.20698,0.76248,0.6699,0.75897,0.41084,1.74918,1.1125,1.23702,0.000957205,0.000957205,0.000957205
22,393.349,1.65935,1.02136,1.20379,0.76146,0.66853,0.7525,0.42284,1.71499,1.06481,1.22234,0.000952889,0.000952889,0.000952889
23,409.938,1.63191,1.01694,1.20131,0.74387,0.64494,0.73541,0.43644,1.69264,1.02184,1.202,0.000948377,0.000948377,0.000948377
24,426.713,1.61453,0.98826,1.17814,0.73937,0.7018,0.76111,0.42142,1.79532,1.01871,1.24297,0.000943671,0.000943671,0.000943671
25,443.023,1.63533,0.98985,1.20119,0.76315,0.66158,0.73771,0.43629,1.70157,1.00886,1.23462,0.000938772,0.000938772,0.000938772
26,459.306,1.64416,0.99603,1.19554,0.7183,0.66135,0.72406,0.41627,1.7165,1.0968,1.2456,0.000933683,0.000933683,0.000933683
27,475.418,1.6019,0.98177,1.17582,0.71315,0.6655,0.72368,0.42397,1.70441,1.05356,1.22906,0.000928405,0.000928405,0.000928405
28,491.273,1.63915,1.00122,1.18906,0.72018,0.65326,0.72442,0.42428,1.70601,1.07829,1.24502,0.000922942,0.000922942,0.000922942
29,507.38,1.59769,0.98882,1.18471,0.7428,0.66574,0.73504,0.41606,1.80145,1.02966,1.26166,0.000917296,0.000917296,0.000917296
30,523.418,1.58814,0.96667,1.17473,0.74863,0.65264,0.73911,0.41481,1.8021,1.0329,1.25291,0.000911469,0.000911469,0.000911469
31,539.54,1.58298,0.96024,1.16522,0.69902,0.68612,0.73373,0.41892,1.74001,1.02787,1.24094,0.000905463,0.000905463,0.000905463
32,555.566,1.56431,0.9447,1.17294,0.68447,0.69487,0.74268,0.40448,1.82949,1.02709,1.28991,0.000899282,0.000899282,0.000899282
33,571.751,1.55319,0.92734,1.15035,0.74461,0.67937,0.74264,0.42917,1.73674,0.98228,1.22838,0.000892928,0.000892928,0.000892928
34,587.751,1.58681,0.93298,1.1723,0.77741,0.6685,0.75542,0.40655,1.88318,1.00431,1.2674,0.000886404,0.000886404,0.000886404
35,603.891,1.56414,0.91577,1.15256,0.7638,0.64771,0.7426,0.43633,1.73651,0.99742,1.23408,0.000879713,0.000879713,0.000879713
36,620.657,1.58173,0.92805,1.16219,0.73923,0.65268,0.74225,0.40529,1.87504,1.01849,1.27512,0.000872857,0.000872857,0.000872857
37,637.248,1.54915,0.92133,1.15567,0.76423,0.65465,0.75153,0.44055,1.73454,1.03178,1.22457,0.000865839,0.000865839,0.000865839
38,653.818,1.55277,0.92136,1.14993,0.74479,0.61119,0.7109,0.42526,1.68423,1.04936,1.2353,0.000858664,0.000858664,0.000858664
39,670.003,1.57471,0.92927,1.15453,0.73932,0.70735,0.76489,0.45245,1.66269,0.98484,1.21258,0.000851333,0.000851333,0.000851333
40,686.244,1.56733,0.93989,1.15474,0.73874,0.69024,0.76542,0.43347,1.7041,0.97975,1.21419,0.000843851,0.000843851,0.000843851
41,702.163,1.52409,0.91911,1.14652,0.73773,0.66713,0.74978,0.437,1.68539,1.04782,1.22206,0.00083622,0.00083622,0.00083622
42,718.11,1.52981,0.90341,1.14088,0.78907,0.66413,0.76683,0.41955,1.74447,0.99342,1.2248,0.000828443,0.000828443,0.000828443
43,734.081,1.51573,0.89632,1.13637,0.73894,0.67918,0.76365,0.4309,1.7474,0.96532,1.2205,0.000820525,0.000820525,0.000820525
44,750.26,1.51144,0.87936,1.13014,0.76395,0.71371,0.78291,0.46061,1.67845,0.94306,1.20365,0.000812468,0.000812468,0.000812468
45,766.495,1.52056,0.90149,1.14276,0.76544,0.64494,0.73167,0.4451,1.68592,0.99916,1.23247,0.000804277,0.000804277,0.000804277
46,782.547,1.50422,0.87399,1.13269,0.7813,0.63384,0.73997,0.43884,1.72388,0.9867,1.23499,0.000795954,0.000795954,0.000795954
47,798.518,1.48012,0.85561,1.12618,0.7278,0.69348,0.74844,0.42624,1.79441,1.0125,1.24708,0.000787503,0.000787503,0.000787503
48,814.794,1.48172,0.84799,1.12826,0.79976,0.66574,0.76648,0.45568,1.66455,0.94077,1.221,0.000778929,0.000778929,0.000778929
49,831.334,1.49901,0.8397,1.11208,0.80581,0.65049,0.75805,0.46461,1.66164,0.95205,1.21716,0.000770234,0.000770234,0.000770234
50,847.954,1.48333,0.83763,1.11923,0.783,0.62968,0.73766,0.44362,1.68214,1.00885,1.21,0.000761423,0.000761423,0.000761423
51,864.059,1.45556,0.83286,1.1105,0.72127,0.67834,0.74313,0.44162,1.72387,1.02053,1.22582,0.0007525,0.0007525,0.0007525
52,880.256,1.46734,0.85624,1.1143,0.79392,0.67545,0.77638,0.46001,1.66062,0.94385,1.19999,0.000743468,0.000743468,0.000743468
53,896.384,1.47081,0.84285,1.1111,0.7047,0.66528,0.73082,0.42634,1.65287,1.04228,1.21861,0.000734332,0.000734332,0.000734332
54,912.785,1.4872,0.8551,1.1116,0.77107,0.66852,0.75211,0.43184,1.66661,0.98716,1.2181,0.000725094,0.000725094,0.000725094
55,928.872,1.43725,0.8225,1.10603,0.73002,0.67129,0.73954,0.45124,1.68074,1.04445,1.22014,0.000715761,0.000715761,0.000715761
56,944.938,1.46624,0.82298,1.09646,0.72349,0.71706,0.76969,0.46369,1.65703,0.9329,1.19279,0.000706335,0.000706335,0.000706335
57,961.157,1.46488,0.82972,1.1097,0.74254,0.69209,0.74739,0.44555,1.63326,0.95066,1.2021,0.00069682,0.00069682,0.00069682
58,977.232,1.47788,0.84655,1.1221,0.76602,0.67268,0.76109,0.46055,1.62126,0.98704,1.19981,0.000687222,0.000687222,0.000687222
59,993.644,1.48211,0.83331,1.09531,0.76362,0.68377,0.75576,0.44463,1.69967,0.97629,1.21492,0.000677543,0.000677543,0.000677543
60,1010.27,1.44611,0.8186,1.09756,0.77031,0.65585,0.74869,0.45448,1.62388,0.9771,1.18989,0.000667789,0.000667789,0.000667789
61,1027.05,1.45157,0.80648,1.10252,0.76249,0.63672,0.74006,0.4479,1.64454,0.98871,1.19725,0.000657963,0.000657963,0.000657963
62,1043.27,1.45211,0.82558,1.09891,0.769,0.66852,0.76934,0.46116,1.64995,0.93264,1.21493,0.000648071,0.000648071,0.000648071
63,1059.77,1.41624,0.79749,1.09627,0.75304,0.72261,0.783,0.47541,1.63078,0.9307,1.18562,0.000638115,0.000638115,0.000638115
64,1076.06,1.40404,0.79039,1.08079,0.75624,0.71983,0.77437,0.46415,1.62348,0.93864,1.19294,0.000628101,0.000628101,0.000628101
65,1092.25,1.3909,0.78515,1.07393,0.7657,0.67406,0.7681,0.45551,1.66475,0.94749,1.20941,0.000618034,0.000618034,0.000618034
66,1108.5,1.44728,0.79761,1.08673,0.76628,0.67545,0.7692,0.44563,1.7024,0.9447,1.20609,0.000607916,0.000607916,0.000607916
